model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_35_Mc_dist,33.0,5.0,92.0,64.0,64.0,95.0,33.0,92.0,42.0,64.0,82.0,46.0,77.0,6.0,64.0,5.0,64.0,41.0,95.0,56.0
IGRP_WF_36_Mc_dist,12.0,37.0,60.0,85.0,8.0,54.0,12.0,60.0,10.0,8.0,11.0,1.0,8.0,50.0,8.0,37.0,85.0,10.0,54.0,87.0
IGRP_WF_37_Mc_dist,1.0,6.0,91.0,96.0,7.0,78.0,1.0,91.0,3.0,7.0,50.0,1.0,13.0,43.0,7.0,6.0,96.0,2.0,78.0,95.0
IGRP_WF_38_Mc_dist,60.0,67.0,30.0,37.0,45.0,24.0,60.0,30.0,58.0,45.0,74.0,1.0,37.0,82.0,45.0,67.0,37.0,58.0,24.0,39.0
IGRP_WF_39_Mc_dist,36.0,29.0,67.0,61.0,38.0,69.0,36.0,68.0,36.0,38.0,66.0,45.0,46.0,64.0,38.0,29.0,61.0,36.0,69.0,61.0
IGRP_WF_40_Mc_dist,61.0,77.0,20.0,36.0,39.0,12.0,61.0,20.0,54.0,39.0,30.0,1.0,26.0,85.0,39.0,77.0,36.0,54.0,12.0,43.0
IGRP_WF_41_Mc_dist,9.0,25.0,72.0,88.0,9.0,63.0,9.0,72.0,8.0,9.0,3.0,67.0,11.0,76.0,9.0,25.0,88.0,7.0,63.0,90.0
IGRP_WF_42_Mc_dist,18.0,40.0,56.0,79.0,11.0,49.0,18.0,56.0,14.0,11.0,32.0,66.0,10.0,70.0,11.0,40.0,79.0,16.0,49.0,81.0
IGRP_WF_43_Mc_dist,38.0,13.0,83.0,59.0,58.0,90.0,38.0,83.0,41.0,58.0,78.0,1.0,74.0,14.0,58.0,13.0,59.0,42.0,90.0,55.0
IGRP_WF_44_Mc_dist,52.0,39.0,58.0,45.0,50.0,57.0,52.0,58.0,52.0,50.0,46.0,44.0,54.0,57.0,50.0,39.0,45.0,52.0,57.0,45.0
