model name,t50_pln_pd1,t60_pln_pd1,t70_pln_pd1,t80_pln_pd1,t90_pln_pd1,nseq_pln_pd1
IGRP_WF_71_Mc_add_dist,0.17272727272727273,0.15454545454545454,0.1,0.045454545454545456,0.02727272727272727,220
IGRP_WF_72_Mc_add_dist,0.11363636363636363,0.07272727272727272,0.05909090909090909,0.03636363636363636,0.00909090909090909,220
IGRP_WF_73_Mc_add_dist,0.22727272727272727,0.19545454545454546,0.14545454545454545,0.08636363636363636,0.045454545454545456,220
IGRP_WF_74_Mc_add_dist,0.12727272727272726,0.08181818181818182,0.06363636363636363,0.05454545454545454,0.03636363636363636,220
IGRP_WF_75_Mc_add_dist,0.24545454545454545,0.19545454545454546,0.1409090909090909,0.11363636363636363,0.05,220
IGRP_WF_76_Mc_add_dist,0.12727272727272726,0.10454545454545454,0.07727272727272727,0.05454545454545454,0.05,220
IGRP_WF_77_Mc_add_dist,0.21818181818181817,0.13636363636363635,0.08636363636363636,0.05454545454545454,0.03636363636363636,220
IGRP_WF_78_Mc_add_dist,0.09090909090909091,0.05909090909090909,0.05454545454545454,0.031818181818181815,0.013636363636363636,220
IGRP_WF_79_Mc_add_dist,0.23636363636363636,0.17727272727272728,0.12272727272727273,0.07727272727272727,0.02727272727272727,220
IGRP_WF_7_Kf_add_dist,0.2636363636363636,0.22272727272727272,0.19545454545454546,0.1409090909090909,0.09545454545454546,220
IGRP_WF_80_Mc_add_dist,0.15454545454545454,0.08636363636363636,0.06818181818181818,0.03636363636363636,0.022727272727272728,220
IGRP_WF_81_Mc_add_dist,0.21818181818181817,0.17272727272727273,0.10909090909090909,0.07727272727272727,0.031818181818181815,220
IGRP_WF_82_Mc_add_dist,0.10909090909090909,0.08636363636363636,0.05454545454545454,0.031818181818181815,0.013636363636363636,220
IGRP_WF_83_Mc_add_dist,0.2545454545454545,0.20454545454545456,0.16818181818181818,0.08636363636363636,0.06363636363636363,220
IGRP_WF_84_Mc_add_dist,0.14545454545454545,0.11818181818181818,0.06363636363636363,0.045454545454545456,0.02727272727272727,220
IGRP_WF_85_Mc_add_dist,0.18181818181818182,0.13636363636363635,0.07727272727272727,0.03636363636363636,0.02727272727272727,220
IGRP_WF_86_Mc_add_dist,0.08181818181818182,0.06363636363636363,0.031818181818181815,0.013636363636363636,0.00909090909090909,220
IGRP_WF_87_Mc_add_dist,0.18181818181818182,0.1409090909090909,0.09545454545454546,0.06363636363636363,0.02727272727272727,220
IGRP_WF_88_Mc_add_dist,0.12272727272727273,0.1,0.06818181818181818,0.031818181818181815,0.01818181818181818,220
IGRP_WF_89_Mc_add_dist,0.22727272727272727,0.18181818181818182,0.13636363636363635,0.09090909090909091,0.03636363636363636,220
IGRP_WF_8_Kf_add_dist,0.19545454545454546,0.13636363636363635,0.08181818181818182,0.05,0.045454545454545456,220
IGRP_WF_90_Mc_add_dist,0.11363636363636363,0.08636363636363636,0.05454545454545454,0.04090909090909091,0.01818181818181818,220
IGRP_WF_91_Mc_add_dist,0.2318181818181818,0.19545454545454546,0.14545454545454545,0.10454545454545454,0.05,220
IGRP_WF_92_Mc_add_dist,0.13636363636363635,0.10454545454545454,0.07727272727272727,0.045454545454545456,0.013636363636363636,220
IGRP_WF_93_Mc_add_dist,0.20909090909090908,0.12272727272727273,0.09545454545454546,0.04090909090909091,0.02727272727272727,220
IGRP_WF_94_Mc_add_dist,0.09090909090909091,0.07272727272727272,0.05909090909090909,0.022727272727272728,0.00909090909090909,220
IGRP_WF_95_Mc_add_dist,0.2590909090909091,0.19090909090909092,0.14545454545454545,0.1,0.031818181818181815,220
IGRP_WF_96_Mc_add_dist,0.1409090909090909,0.10909090909090909,0.05909090909090909,0.02727272727272727,0.01818181818181818,220
IGRP_WF_9_Kf_add_dist,0.21818181818181817,0.16818181818181818,0.15454545454545454,0.10909090909090909,0.08181818181818182,220
